id,chain,sapiens_score
d2,H,0.7924181681401172
d6,H,0.8914324803011758
d8,H,0.871957650698653
d12,H,0.8234255090355873
d14,H,0.8752783987355153
d15,H,0.8642694756107511
d16,H,0.8790419678272748
d17,H,0.8826173043676785
d18,H,0.8465073151317867
d19,H,0.8416208835209117
d21,H,0.8484101998225108
d22,H,0.792018303493841
d23,H,0.8262171520529171
d24,H,0.8918265569265242
d25,H,0.7994169874362788
d27,H,0.8722285854997575
d28,H,0.7950993909754537
d30,H,0.8277585496956652
d31,H,0.7785576268607243
d32,H,0.8863370701601015
d33,H,0.8813019971052806
d34,H,0.8183260278375907
d36,H,0.8340931360121994
d37,H,0.8959286471582809
d39,H,0.858079130259844
d41,H,0.8879740892258365
d42,H,0.8283714375312567
d44,H,0.864284997290841
d46,H,0.8141512112902864
d47,H,0.8325207818229243
d49,H,0.8882737328056935
d50,H,0.8941761277970813
d52,H,0.7831193989211129
d54,H,0.871784185955547
d56,H,0.8294259660951464
d57,H,0.7995657617765888
d58,H,0.8258282756260423
d60,H,0.8263681707558809
d61,H,0.8142592014932851
d62,H,0.8832886485116822
d63,H,0.896373857304735
d65,H,0.8887947333895642
d67,H,0.8238553065678169
d68,H,0.8027180606655986
d70,H,0.8598802726649281
d72,H,0.8115068319699038
d73,H,0.8427888656387458
d74,H,0.8160813452559523
d75,H,0.789044951346915
d77,H,0.8624295627552212
d78,H,0.8920592253453263
d80,H,0.8383148508233444
d81,H,0.8969263273808691
d82,H,0.8869681065884706
d83,H,0.8400335657447576
d84,H,0.8390005238067645
d86,H,0.8854121239159569
d87,H,0.8296732791832515
d88,H,0.872701974240718
d89,H,0.8625560052072009
d95,H,0.7752715218350414
d97,H,0.8054257068568125
d98,H,0.8075054044516206
d100,H,0.8847542502612711
d101,H,0.7925685979084137
d102,H,0.7790413939646471
d103,H,0.8736558829960616
d104,H,0.8774994004447505
d105,H,0.8648624911068756
d106,H,0.8522979261719489
d107,H,0.8618162169913265
d108,H,0.868712258533737
d113,H,0.8815939876191113
d114,H,0.8462001606451133
d115,H,0.8624867623051008
d116,H,0.8348018372085242
d120,H,0.8388934384758046
d124,H,0.7975436448341324
d126,H,0.8312968424033551
d127,H,0.8536946384219436
d130,H,0.8804806247089972
d131,H,0.8389260425519581
d133,H,0.8498115619508232
d136,H,0.8801485038948832
d138,H,0.8761902998897944
d139,H,0.8933416659678888
d140,H,0.807928428100422
d148,H,0.8313843382905438
d149,H,0.7882977324937072
d151,H,0.9000115512727617
d153,H,0.829349469486624
d155,H,0.8624653598310146
d156,H,0.8510271079737592
