Label,Model assigned score
"Nonbinder, training set",-2.4368126
"Nonbinder, training set",-2.9062724
"Nonbinder, training set",-0.13145685
"Nonbinder, training set",-2.9171562
"Binder, training set",4.008791
"Nonbinder, training set",-1.0806377
"Binder, training set",2.7147918
"Nonbinder, training set",0.29287887
"Nonbinder, training set",-1.8502954
"Nonbinder, training set",1.7851135
"Nonbinder, training set",-2.5030918
"Nonbinder, training set",1.290952
"Binder, training set",0.747355
"Binder, training set",3.8598866
"Binder, training set",1.2354146
"Nonbinder, training set",-0.300874
"Nonbinder, training set",-2.0999103
"Binder, training set",2.792426
"Nonbinder, training set",-2.584681
"Binder, training set",1.0664448
"Nonbinder, training set",-2.9174585
"Nonbinder, training set",-1.4588804
"Binder, training set",1.886424
"Nonbinder, training set",-2.5564852
"Nonbinder, training set",-2.6984892
"Binder, training set",1.1624845
"Binder, training set",1.3137215
"Nonbinder, training set",-2.4698014
"Nonbinder, training set",0.83078337
"Nonbinder, training set",-3.2315278
"Nonbinder, training set",-2.1671858
"Nonbinder, training set",-2.778389
"Nonbinder, training set",-3.4578414
"Nonbinder, training set",1.7620627
"Nonbinder, training set",1.2152416
"Nonbinder, training set",1.0838802
"Nonbinder, training set",-3.298882
"Binder, training set",0.93968904
"Binder, training set",0.08243501
"Nonbinder, training set",-1.9825801
"Binder, training set",1.8507997
"Nonbinder, training set",2.1498866
"Nonbinder, training set",-0.15307653
"Binder, training set",2.054574
"Binder, training set",2.4452114
"Nonbinder, training set",0.63755167
"Nonbinder, training set",-2.8594933
"Nonbinder, training set",1.8163098
"Nonbinder, training set",-2.4687228
"Nonbinder, training set",-2.0485225
"Nonbinder, training set",-4.768126
"Nonbinder, training set",-2.3991656
"Binder, training set",3.7553062
"Nonbinder, training set",-1.2892563
"Nonbinder, training set",-1.3384635
"Nonbinder, training set",-1.2436424
"Nonbinder, training set",-2.2613063
"Nonbinder, training set",2.591045
"Nonbinder, training set",0.1584487
"Nonbinder, training set",-0.97980654
"Binder, training set",2.0850592
"Nonbinder, training set",-0.015911937
"Nonbinder, training set",-1.8057418
"Binder, training set",2.2436023
"Nonbinder, training set",-1.5340047
"Nonbinder, training set",-0.8580506
"Nonbinder, training set",-2.6150389
"Nonbinder, training set",0.18864226
"Nonbinder, training set",-2.7018394
"Nonbinder, training set",-2.5116563
"Nonbinder, training set",-2.5391355
"Nonbinder, training set",1.8478869
"Binder, training set",0.747769
"Nonbinder, training set",1.8435584
"Nonbinder, training set",-2.3649004
"Nonbinder, training set",-1.218422
"Binder, training set",-2.1116772
"Nonbinder, training set",-2.279429
"Binder, training set",1.6542891
"Nonbinder, training set",0.6751207
"Nonbinder, training set",-2.0042515
"Nonbinder, training set",-3.2601676
"Nonbinder, training set",1.0240302
"Binder, training set",-0.3125502
"Nonbinder, training set",-1.6770574
"Nonbinder, training set",-2.914569
"Nonbinder, training set",-2.6221733
"Nonbinder, training set",-1.8379565
"Nonbinder, training set",0.48621595
"Nonbinder, training set",-0.07054162
"Nonbinder, training set",-2.3394783
"Nonbinder, training set",-1.0274124
"Nonbinder, training set",-1.9214865
"Nonbinder, training set",-3.346274
"Nonbinder, training set",-2.2329085
"Nonbinder, training set",-2.0421748
"Binder, training set",2.6004648
"Nonbinder, training set",-3.8639965
"Nonbinder, training set",-2.3972297
"Nonbinder, training set",-1.863776
"Nonbinder, training set",-1.883202
"Binder, training set",2.4595833
